id;Consent_000_RAW;Consent_001_RAW;ExperimentsIssues_000_RAW;Goodbye_001_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_005_RAW;ExperimentsIssues_004_RAW
193;;;;ajnv9znb11ovhkan6wlm;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";Student (Master, PhD,...);9svmvoDAedoa2ZGCE9BO8qqjXszWFKwFAbqYoQlLSzoaxBBz6K63FyZ8341DO0
191;;;;1ewxs5ofnh6hed26jtx8;Sometimes;NA;"Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; My friends do not have errors in their protocols";Senior academic;NA
190;;;;hfbtgfpkrdc3aqqhvj9t;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Senior academic;kA04tvNQYSqFDmj8cuYZh0Drytm50o5B9T5QUfhCtRGvul54DL9oURGAZRZ6bSswmRdyIv5
189;;;;btt5zoepaaaz890y4uwp;Always;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Senior academic;yLG01moSBliQHJkwmGTxl1MzW5KriR4rnLIQ16Ur3Fikc0xTzOMjJ5OKqbyBgU
188;;;;qhwx8zyv2yh39qy0jzev;Often;NA;"Errors so bad that my friend had to start over; Other";Senior academic;tRI5H2SCEHwA8uKwxCxEK5yNSg0XR1PhQBNdzt9BclakxvJGAGT92XcZWGLB8YtjqvQze2SmXC
187;;;;yv462hjw1pnrhs8h2rvk;Rarely;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Early Career Academic;SR9a7GMzsZbOs9ZSmizDMU4aO11gLRS75
186;;;;s0qba2zevkxon10xzrzs;Sometimes;NA;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";Early Career Academic;NA
185;;;;8gy7rfuv3hb4aah4zfb7;Always;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Postdoc or non-ternure track Academic;b63FBHNQ1UG0Ps3D7S5dNHfqcCo2fokLmbfzP884qykTbrATXEjE4aqNhXprhm
184;;;;1wn60xs9tuty4fc8su0j;Never;No, but my Research assistant is;NA;Student (Master, PhD,...);NA
183;;;;qe7rbwtrnm38ar6qglwl;Often;NA;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";Early Career Academic;NA
182;;;;ufqjx9qjhkh19x2zueqe;Rarely;NA;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other";Student (Master, PhD,...);0qlAb0GZnM0CPATuVadmkk6buBMVBjl68YKv8SDn4lXBC1zFkvWIlhM
181;;;;4a2l13723znfqoht84ro;Often;NA;"Spelling errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Student (Master, PhD,...);NA
180;;;;w81fpzwnxutzq976l1qu;Always;NA;"Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper";Senior academic;NA
179;;;;2yz0dxpmon3xgl2afd55;Never;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;NA
178;;;;1wwfkv0uln0r783e6tua;Never;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;NA
177;;;;mxzvqu6crm3b01kwazgp;Never;Of course;NA;Postdoc or non-ternure track Academic;NA
176;;;;03fcrxsltuxczck15osv;Sometimes;NA;"Spelling errors; Important content errors; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other";Senior academic;qi5WESe9eNJZ8veS6CvJGiN1WGATKvYByUUaigAxg9Zep47tYV89AYf9ZlZmfDH5aM9SHOJa9d0okeRRmSzNzT
175;;;;pp2b9nvh072axyjgp1sj;Sometimes;NA;"Important content errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";Student (Master, PhD,...);NA
174;;;;9um6o99349nf3z991yoa;Rarely;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Postdoc or non-ternure track Academic;gQzs
173;;;;rrjlcf0t86lft4lp00fc;Sometimes;NA;"Important content errors; Data preparation was harder than it could have been";Postdoc or non-ternure track Academic;NA
172;;;;o9hs6cp4zs6nqa0rud98;Rarely;NA;"Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";Senior academic;NA
171;;;;kqnxjb0wkb0r9loag986;Never;Of course;NA;Early Career Academic;NA
170;;;;mvxonk9vff9crzybycpv;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Senior academic;YFgFKb8mMMLUXFPQZ1aeCwOPXIvxyXJhSfyXIaJG0ygy7TfOAgw
169;;;;gv5xbgleuu5qoghb4tnv;Rarely;NA;"Important content errors; My friends do not have errors in their protocols; Other";Early Career Academic;4rQU0cJz8YaLXw1F1MdpXvFYytlJGTS5AG6qHhSSadicjNGdi9i4j9e0Fw1R33NJ6UGHD0RT3BAC1GQ
168;;;;gnn6nytbvbjnt9ok3qbs;Sometimes;NA;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";Senior academic;NA
167;;;;wvmlzadqhx299kl0qobt;Sometimes;NA;"Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Early Career Academic;NA
166;;;;xtwk6yeyf195r0u9p6ul;Always;NA;"Spelling errors; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";Early Career Academic;NA
165;;;;xv2ma2yg7he7yeye6xmd;Often;NA;"Errors in participants balancing to conditions; Data not what we expected; Other";Early Career Academic;kHUyRo6toXw3KVlB2CW4kJ26iEZNdAMvVVk7aD7jXCnGmM3Eqgj
164;;;;7uxrk4kff25nzr8tfdy7;Often;NA;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Early Career Academic;NFp5L4uYFfA5KaX5g1ifMT5bB5Zt8owE1WYIwZsrpWKMaGOgLXhdu7aQanxkt3a1KcrY0cSwxTGnmYVVTZjGY9pc6Ey2EoNxIC
163;;;;9156mbyx35tqx3hrrbgp;Rarely;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Early Career Academic;NA
162;;;;t9lmcnehhfl8lp8axorp;Always;NA;"Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Early Career Academic;cclRUul88r8myCkLqpHRkeSMDiha3cDFm7aKT4r0rC0B0ElXVun3MN5ycxdK99Q0JjYTaxV
161;;;;9wscefb5o1c9x02tcnus;Never;Of course;NA;Senior academic;NA
159;;;;pf7h4o6thgn7qd27s2uw;Never;Of course;NA;Early Career Academic;NA
160;;;;o4o8fgwc4o73b9kc2o27;Sometimes;NA;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Errors so bad that my friend had to start over";Early Career Academic;NA
158;;;;jkk1l3zbpkgxa7v8mf6z;Never;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;NA
157;;;;wou0v7hgsuo7n2vwzbq0;Rarely;NA;"Important content errors; Errors in the coding of items; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Early Career Academic;huCA5pUuncWurJgwkoapjJs76sB7bVKLhIyWn6WydGqCb4sCHdjNbctg94LSzc
156;;;;dqferhpfd0p8zja92g59;Always;NA;"Spelling errors; Important content errors; Data not what we expected; Errors so bad that my friend had to start over; Other";Postdoc or non-ternure track Academic;m266tzUMUD0Mt
155;;;;t4y4zztlm5yuxqgh8mf3;Often;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Early Career Academic;q3RL9CcjnzlGprSfl0Mi3Vv
154;;;;fz8kawypwgrtq72thubm;Rarely;NA;Errors in the coding of items;Student (Master, PhD,...);NA
153;;;;z39uo151cwk1pv4zrg5b;Always;NA;"Match between hypotheses and data not clear; Other";Senior academic;JqYC0jJ8GLeu2nPwMcadLsAv9KDbYmmP6fROCVofgEbbZ7bss7WkwUCJCEPL7WDEI51thGNUsxa3
152;;;;oqloyuy0sgucj9zq8qd1;Often;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Student (Master, PhD,...);WMoL3uYPr9uqxrmyOuUEu
151;;;;qc1j7enqy6z1mbprbqb7;Rarely;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Postdoc or non-ternure track Academic;NA
150;;;;ewb079ct4nya2msj5cqs;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Postdoc or non-ternure track Academic;pRiXFHmfekFnwTOLBDwADOX0q6NTKccMhmfQEiPFFsjHvpqpTj4Yk3CKAmZRBAwuqjUaR7ATsVxl0dD3IaYUchCaAu91o49
149;;;;smxsnl7qbtypalgagcj5;Rarely;NA;"Important content errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear";Student (Master, PhD,...);NA
148;;;;lwqzbhnk4bhddojcvrdz;Always;NA;"Errors in the coding of items; Match between hypotheses and data not clear";Postdoc or non-ternure track Academic;NA
146;;;;lcnudsxd1v1fdyjm7el1;Often;NA;Errors in the coding of items;Early Career Academic;NA
147;;;;hbsch2cfj8lk75661tw8;Always;NA;"Errors in the coding of items; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Student (Master, PhD,...);vizfp43KBX8HdRwEMVi
145;;;;6b02al4h3dkghf36kwhm;Always;NA;"Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear";Senior academic;NA
144;;;;qcuugva4nbbo1emv0swr;Sometimes;NA;"Spelling errors; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";Early Career Academic;QdXcGgvbnD2rPSxIrkB2aSkWkNmlBQxDjj4B7CuUGP5Too5lNbLFVYuzxHtbzAIy
143;;;;rcl8jpc56phk7l6s93bf;Sometimes;NA;"Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Student (Master, PhD,...);NA
142;;;;ojozwaqqnag1zlyqnoq8;Always;NA;"Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Postdoc or non-ternure track Academic;NA
141;;;;3hpxwyl1bjsaacd53s0p;Rarely;NA;"Important content errors; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Senior academic;NA
140;;;;arul8lj8t2u88c7lvw2x;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";Early Career Academic;NA
139;;;;qvfbun2zoh8y8eev990l;Often;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Senior academic;c51y7N1thRgULjuTmzKh1yyrCcK3ZBUE3eTszTS0XQ6PvAErlBQ
138;;;;8wzu21qwrmtr7nedwz4e;Rarely;NA;"Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";Early Career Academic;BYnIdwGQzu4l7j5koUcYvMSirEhZVtq
137;;;;3eys8cc8od9bcrkbh8fz;Always;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Early Career Academic;NA
136;;;;ndofocle5s4r34kvx923;Often;NA;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Senior academic;bTMS7jgZAxWaTS
135;;;;edtdudqawhr55mo92n61;Often;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Postdoc or non-ternure track Academic;NA
134;;;;p7tmupoxn5rzk6ebmx83;Always;NA;"Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper";Early Career Academic;NA
133;;;;bnncjla150gy6sagz2qr;Always;NA;"Errors in the coding of items; Some variables or questions asked to participants but not used in the analysis/paper";Postdoc or non-ternure track Academic;NA
132;;;;twajthoo5ezr9zt6surt;Sometimes;NA;"Spelling errors; Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other";Early Career Academic;bs3plLZV2YBqCcm1Pep3ctuZxPr9fDOr7rBxg7uU6suVyncSF
131;;;;avn15p8zt3xhzd5c2eq5;Rarely;NA;"Important content errors; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Postdoc or non-ternure track Academic;INsB2GK4N65x0aDVC2EnqLb4pgFG3jGxvAeADiMaq2ShEwZiWnxwYsU9UxmBC5WZ7
130;;;;wdwonfxs3387005qkgns;Never;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;NA
129;;;;5tpnw4nbv2hs9y5yyev1;Often;NA;"Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";Student (Master, PhD,...);NA
127;;;;crr0z8ha8qpnq1hetfmj;Rarely;NA;Errors so bad that my friend had to start over;Postdoc or non-ternure track Academic;NA
128;;;;n18nop9x9cu68wx9le9t;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Other";Postdoc or non-ternure track Academic;qENNLOrYvnQgxZEEJU
126;;;;q2en004cvab6xob38m3k;Always;NA;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";Postdoc or non-ternure track Academic;NurzzFwckhMy8Mr5c7Fe4friKoOw7B
125;;;;rrxwbud8vbossa2geeof;Always;NA;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other";Postdoc or non-ternure track Academic;yHKwHDSIQfr1apqJV
124;;;;m5lp2j0lw68nsr92ba0j;Rarely;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Student (Master, PhD,...);LkUg0PlkTwdj7sj6vHIR2vMBO86EO4vkuhjIIJBcbv8TWq2i8I1HKFaH4ljrgVJjLkV5GMuzp9LW0B6mH3ZHc63KpN68w
123;;;;ueu7uvcuuz7qw6pm06ov;Often;NA;"Spelling errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Early Career Academic;rvhdyqrxu4hUe8samG6K9raSf3G8f9M5lj9oz6d96LItiq9XtCAoL
122;;;;vd8yasvqu6uvowevpecf;Always;NA;Some variables or questions asked to participants but not used in the analysis/paper;Early Career Academic;NA
121;;;;hgldkqb902sd265op9xf;Rarely;NA;"Spelling errors; Important content errors";Postdoc or non-ternure track Academic;NA
120;;;;zcajgl9rq5x5xfumvph2;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other";Early Career Academic;YorHgQQrslYVY9XaAvw3StSRqgKdrfNYK5xio3F7JLcsCeg3
119;;;;eocu4akg87384mljk24u;Often;NA;"Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear";Student (Master, PhD,...);NA
118;;;;k8j7rjm4bdwuo5ubadtz;Always;NA;"Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Senior academic;lbpulCy7znGdZFbJBIbdcxOInvmMdWnMSvzldLiR8rtwXPEkvZ2hrxAHNyA0Qsj0qjWecnVK
117;;;;pxqjn238jsouee8ca4sj;Never;No, but my Research assistant is;NA;Early Career Academic;NA
116;;;;z3ogphbk2yjpnq67wv22;Often;NA;"Important content errors; Data not what we expected; Other";Student (Master, PhD,...);e35KqnDcdKOPi4XK3jifL1kHAP5RNJJ12fzZGqkdfRi5RdvfHmpml61lbt4TTkocmCEyDQ7mV9qUIllqwsYxe
115;;;;azlyeyk9a1o74hpnn67m;Rarely;NA;"Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";Early Career Academic;ulMxulcFhnsmaFrGGvRcvQI3cDoNiyFpO
114;;;;3g1kc7x9aytvugfwaga6;Sometimes;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";Postdoc or non-ternure track Academic;PyPWyY6e
113;;;;o8ujraac3745nvxmnlx4;Never;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;NA
111;;;;sepkup05pbz31r2tf3vw;Often;NA;"Errors in participants balancing to conditions; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Postdoc or non-ternure track Academic;NA
112;;;;aosz78xadh9pq68bjgkn;Never;Of course;NA;Postdoc or non-ternure track Academic;NA
110;;;;f4n5llzahag3gufogcta;Often;NA;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other";Postdoc or non-ternure track Academic;HTUHr6EkNv6F8Ooazmce6si8KInToC7uVUKDs7CsM2mkiG8EG2dshdpnN9uwqPUEAc1H8msjTkbmjGy9EeRZQuRUs3q8G9
109;;;;he026qlp3hrrxfvgog95;Sometimes;NA;"Important content errors; My friends do not have errors in their protocols";Student (Master, PhD,...);NA
108;;;;v7xfyponpgk5alurzoxt;Often;NA;"Spelling errors; Important content errors";Student (Master, PhD,...);NA
106;;;;80qgjy2qxph93kz397t8;Often;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Student (Master, PhD,...);grxqUDs8iGKDV3aSv
107;;;;p1541kh703yq7rsdc68y;Sometimes;NA;"Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Student (Master, PhD,...);9J5a5My0kJm7UiqP9
105;;;;mhrr3ox4y4qtnrnjz05x;Sometimes;NA;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";Early Career Academic;NA
104;;;;5cgtgtjklmn9kgy3n6f6;Often;NA;"Spelling errors; Important content errors; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";Postdoc or non-ternure track Academic;ExptIuT9TLmuIaSABnqTQhV5Pq9jSvJqasWVPjEXdYlJXhorJhaiNK4P4724XO6h3a1oexUNgeMHo329R2NzdBe92l
103;;;;pted5jrhfx239993t778;Rarely;NA;"Important content errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols";Postdoc or non-ternure track Academic;NA
102;;;;xog9nxyasszcsut1r3lr;Sometimes;NA;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Postdoc or non-ternure track Academic;VODIaUvHlrlqP3Zks1cb4PLCqGpNoJRr6yBw9J
101;;;;xaecwa4swbl7wymhyrsu;Never;No, but my Research assistant is;NA;Early Career Academic;NA
100;;;;f7cm9a5olt0x5flycpzo;Sometimes;NA;"Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over";Senior academic;NA
99;;;;sxdkdb7qujoayct9poq5;Sometimes;NA;"Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Early Career Academic;XlYQScEFwmc7TH8cokv1CZLIH8h
98;;;;xfpkpx4cwphq3vs6ewot;Rarely;NA;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";Senior academic;LnCUy5quaxBCxHXYmCeQgqgK5KIM8WxvMOmQChy7NtUtMuuY9chnYm480Dv9pgqMhp
96;;;;vnom9ex5bsu0w7rqujvg;Always;NA;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Other";Early Career Academic;ZeUjc02M9CSukuIKgM5
