id;Consent_DIRt;ExperimentsIssues_IssuesExperiments_DIRd;ExperimentsIssues_FrequencyIssues_DIRd;ExperimentsIssues_WhoIsGod_DIRd;ExperimentsIssues_Experience_DIRd;Goodbye_DIRt
113;0;"NA; NA";Never;My research assistant;2;DONE
114;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; PyPWyY6e";Sometimes;NA;2;DONE
115;0;"Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; ulMxulcFhnsmaFrGGvRcvQI3cDoNiyFpO";Rarely;NA;3;DONE
116;0;"Important content errors; Data not what we expected; Other; e35KqnDcdKOPi4XK3jifL1kHAP5RNJJ12fzZGqkdfRi5RdvfHmpml61lbt4TTkocmCEyDQ7mV9qUIllqwsYxe";Often;NA;1;DONE
117;0;"NA; NA";Never;My research assistant;3;DONE
118;0;"Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; lbpulCy7znGdZFbJBIbdcxOInvmMdWnMSvzldLiR8rtwXPEkvZ2hrxAHNyA0Qsj0qjWecnVK";Always;NA;4;DONE
119;0;"Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear; NA";Often;NA;1;DONE
12;0;"NA; NA";Never;My research assistant;1;DONE
120;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other; YorHgQQrslYVY9XaAvw3StSRqgKdrfNYK5xio3F7JLcsCeg3";Sometimes;NA;3;DONE
121;0;"Spelling errors; Important content errors; NA";Rarely;NA;2;DONE
122;0;"Some variables or questions asked to participants but not used in the analysis/paper; NA";Always;NA;3;DONE
123;0;"Spelling errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; rvhdyqrxu4hUe8samG6K9raSf3G8f9M5lj9oz6d96LItiq9XtCAoL";Often;NA;3;DONE
124;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; LkUg0PlkTwdj7sj6vHIR2vMBO86EO4vkuhjIIJBcbv8TWq2i8I1HKFaH4ljrgVJjLkV5GMuzp9LW0B6mH3ZHc63KpN68w";Rarely;NA;1;DONE
125;0;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other; yHKwHDSIQfr1apqJV";Always;NA;2;DONE
126;0;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; NurzzFwckhMy8Mr5c7Fe4friKoOw7B";Always;NA;2;DONE
127;0;"Errors so bad that my friend had to start over; NA";Rarely;NA;2;DONE
128;0;"Spelling errors; Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Other; qENNLOrYvnQgxZEEJU";Sometimes;NA;2;DONE
129;0;"Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";Often;NA;1;DONE
13;0;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; YwU5TbzyLYeLHesodShqfNDMJq1W2InmMmxExMkhpTqXtJNCiXgNicizdjsDr7tJQjF5z";Always;NA;3;DONE
130;0;"NA; NA";Never;My research assistant;2;DONE
131;0;"Important content errors; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; INsB2GK4N65x0aDVC2EnqLb4pgFG3jGxvAeADiMaq2ShEwZiWnxwYsU9UxmBC5WZ7";Rarely;NA;2;DONE
132;0;"Spelling errors; Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other; bs3plLZV2YBqCcm1Pep3ctuZxPr9fDOr7rBxg7uU6suVyncSF";Sometimes;NA;3;DONE
133;0;"Errors in the coding of items; Some variables or questions asked to participants but not used in the analysis/paper; NA";Always;NA;2;DONE
134;0;"Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; NA";Always;NA;3;DONE
135;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Often;NA;2;DONE
136;0;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; bTMS7jgZAxWaTS";Often;NA;4;DONE
137;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Always;NA;3;DONE
138;0;"Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; BYnIdwGQzu4l7j5koUcYvMSirEhZVtq";Rarely;NA;3;DONE
139;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; c51y7N1thRgULjuTmzKh1yyrCcK3ZBUE3eTszTS0XQ6PvAErlBQ";Often;NA;4;DONE
14;0;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; Gl1xR5MHbW34PZ6VAJIKofHvmVQYhrCIWcFJxwjAVvd7IDbxk1zu5myKoKhD5vAFLo984staPj04mliNmIWk0bQcnX5zqdHXiq";Rarely;NA;1;DONE
140;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";Sometimes;NA;3;DONE
141;0;"Important content errors; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Rarely;NA;4;DONE
142;0;"Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Always;NA;2;DONE
143;0;"Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Sometimes;NA;1;DONE
144;0;"Spelling errors; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; QdXcGgvbnD2rPSxIrkB2aSkWkNmlBQxDjj4B7CuUGP5Too5lNbLFVYuzxHtbzAIy";Sometimes;NA;3;DONE
145;0;"Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; NA";Always;NA;4;DONE
146;0;"Errors in the coding of items; NA";Often;NA;3;DONE
147;0;"Errors in the coding of items; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; vizfp43KBX8HdRwEMVi";Always;NA;1;DONE
148;0;"Errors in the coding of items; Match between hypotheses and data not clear; NA";Always;NA;2;DONE
149;0;"Important content errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; NA";Rarely;NA;1;DONE
15;0;"Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";Rarely;NA;3;DONE
150;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; pRiXFHmfekFnwTOLBDwADOX0q6NTKccMhmfQEiPFFsjHvpqpTj4Yk3CKAmZRBAwuqjUaR7ATsVxl0dD3IaYUchCaAu91o49";Sometimes;NA;2;DONE
151;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Rarely;NA;2;DONE
152;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; WMoL3uYPr9uqxrmyOuUEu";Often;NA;1;DONE
153;0;"Match between hypotheses and data not clear; Other; JqYC0jJ8GLeu2nPwMcadLsAv9KDbYmmP6fROCVofgEbbZ7bss7WkwUCJCEPL7WDEI51thGNUsxa3";Always;NA;4;DONE
154;0;"Errors in the coding of items; NA";Rarely;NA;1;DONE
155;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; q3RL9CcjnzlGprSfl0Mi3Vv";Often;NA;3;DONE
156;0;"Spelling errors; Important content errors; Data not what we expected; Errors so bad that my friend had to start over; Other; m266tzUMUD0Mt";Always;NA;2;DONE
157;0;"Important content errors; Errors in the coding of items; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; huCA5pUuncWurJgwkoapjJs76sB7bVKLhIyWn6WydGqCb4sCHdjNbctg94LSzc";Rarely;NA;3;DONE
158;0;"NA; NA";Never;My research assistant;2;DONE
159;0;"NA; NA";Never;Me;3;DONE
16;0;"Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; NA";Always;NA;1;DONE
160;0;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; NA";Sometimes;NA;3;DONE
161;0;"NA; NA";Never;Me;4;DONE
162;0;"Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; cclRUul88r8myCkLqpHRkeSMDiha3cDFm7aKT4r0rC0B0ElXVun3MN5ycxdK99Q0JjYTaxV";Always;NA;3;DONE
163;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Rarely;NA;3;DONE
164;0;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; NFp5L4uYFfA5KaX5g1ifMT5bB5Zt8owE1WYIwZsrpWKMaGOgLXhdu7aQanxkt3a1KcrY0cSwxTGnmYVVTZjGY9pc6Ey2EoNxIC";Often;NA;3;DONE
165;0;"Errors in participants balancing to conditions; Data not what we expected; Other; kHUyRo6toXw3KVlB2CW4kJ26iEZNdAMvVVk7aD7jXCnGmM3Eqgj";Often;NA;3;DONE
166;0;"Spelling errors; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";Always;NA;3;DONE
167;0;"Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Sometimes;NA;3;DONE
168;0;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";Sometimes;NA;4;DONE
169;0;"Important content errors; My friends do not have errors in their protocols; Other; 4rQU0cJz8YaLXw1F1MdpXvFYytlJGTS5AG6qHhSSadicjNGdi9i4j9e0Fw1R33NJ6UGHD0RT3BAC1GQ";Rarely;NA;3;DONE
17;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";Always;NA;3;DONE
170;0;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; YFgFKb8mMMLUXFPQZ1aeCwOPXIvxyXJhSfyXIaJG0ygy7TfOAgw";Sometimes;NA;4;DONE
171;0;"NA; NA";Never;Me;3;DONE
172;0;"Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";Rarely;NA;4;DONE
173;0;"Important content errors; Data preparation was harder than it could have been; NA";Sometimes;NA;2;DONE
174;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; gQzs";Rarely;NA;2;DONE
175;0;"Important content errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";Sometimes;NA;1;DONE
176;0;"Spelling errors; Important content errors; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other; qi5WESe9eNJZ8veS6CvJGiN1WGATKvYByUUaigAxg9Zep47tYV89AYf9ZlZmfDH5aM9SHOJa9d0okeRRmSzNzT";Sometimes;NA;4;DONE
177;0;"NA; NA";Never;Me;2;DONE
178;0;"NA; NA";Never;My research assistant;2;DONE
179;0;"NA; NA";Never;My research assistant;2;DONE
18;0;"Data not what we expected; NA";Sometimes;NA;3;DONE
180;0;"Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; NA";Always;NA;4;DONE
181;0;"Spelling errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Often;NA;1;DONE
182;0;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other; 0qlAb0GZnM0CPATuVadmkk6buBMVBjl68YKv8SDn4lXBC1zFkvWIlhM";Rarely;NA;1;DONE
183;0;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";Often;NA;3;DONE
184;0;"NA; NA";Never;My research assistant;1;DONE
185;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; b63FBHNQ1UG0Ps3D7S5dNHfqcCo2fokLmbfzP884qykTbrATXEjE4aqNhXprhm";Always;NA;2;DONE
186;0;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";Sometimes;NA;3;DONE
187;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; SR9a7GMzsZbOs9ZSmizDMU4aO11gLRS75";Rarely;NA;3;DONE
188;0;"Errors so bad that my friend had to start over; Other; tRI5H2SCEHwA8uKwxCxEK5yNSg0XR1PhQBNdzt9BclakxvJGAGT92XcZWGLB8YtjqvQze2SmXC";Often;NA;4;DONE
189;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; yLG01moSBliQHJkwmGTxl1MzW5KriR4rnLIQ16Ur3Fikc0xTzOMjJ5OKqbyBgU";Always;NA;4;DONE
19;0;"Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; Z8qxtWofgjiI3nq5z67pHiqVNFTTdZkyon";Sometimes;NA;4;DONE
190;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; kA04tvNQYSqFDmj8cuYZh0Drytm50o5B9T5QUfhCtRGvul54DL9oURGAZRZ6bSswmRdyIv5";Sometimes;NA;4;DONE
191;0;"Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; My friends do not have errors in their protocols; NA";Sometimes;NA;4;DONE
192;0;"Spelling errors; Important content errors; Match between hypotheses and data not clear; NA";Sometimes;NA;4;DONE
193;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; 9svmvoDAedoa2ZGCE9BO8qqjXszWFKwFAbqYoQlLSzoaxBBz6K63FyZ8341DO0";Sometimes;NA;1;DONE
194;0;"Errors in the coding of items; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Other; ruPSIbXtBmvxz0BuJxpjrnI9jpbqzObkxfXKq04Rfh";Always;NA;2;DONE
195;0;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Always;NA;1;DONE
196;0;"Spelling errors; Important content errors; Errors so bad that my friend had to start over; Other; 3iPXsR2d9P67ED1EGtKjaDtTT8qdtsL7xJw7UlaE65s93tI4PvQG7J5bI3cyT";Rarely;NA;3;DONE
197;0;"My friends do not have errors in their protocols; NA";Always;NA;2;DONE
198;0;"Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Other; qC1jq7GW1yAsZBMA8r1ybbYVXQDIyQw9GS";Rarely;NA;2;DONE
199;0;"NA; NA";Never;My research assistant;4;DONE
2;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; hWfvHlnFbMffJuC2V8";Often;NA;4;DONE
20;0;"Important content errors; Other; HpdWj8ehSivFSwy7TYu8zw5VOuRpjoOg0p0CubNR2yQxtdycKLOm2kfAGVfylZqBGpgE28DTCi0NV0a9MemYE55If0CvvjKVkccD";Always;NA;3;DONE
200;0;"Data not what we expected; Data preparation was harder than it could have been; Other; 0uxLQZ8O46hw3f37DqF5VFxjTQu7g1XVwhOEnlrljFkvd4v0TesL2NIucC7kvPxSBQ6eAk3XGQ0pVZ";Rarely;NA;1;DONE
21;0;"Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; NA";Sometimes;NA;4;DONE
22;0;"NA; NA";Never;Me;3;DONE
23;0;"NA; NA";Never;My research assistant;3;DONE
24;0;"NA; NA";Never;Me;2;DONE
25;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; loZgOTXv8hAbVtO14TBYV8gN22XnkMSCtREyTg3MbwMCfxNrBl320b11";Rarely;NA;1;DONE
26;0;"Errors in participants balancing to conditions; NA";Sometimes;NA;2;DONE
27;0;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; Gb2IG6WpFR7fz1eCTSIqTn8ssAw9fi6Y4XtZbCYoDHqlyMyOzRPljWrvspNc08dpJDGQ12SvO6B2UR1dYC0igEdsnpwNUwKxFiMI";Sometimes;NA;3;DONE
28;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Always;NA;3;DONE
29;0;"Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Always;NA;3;DONE
2pqked5vawp4soxrdwx9;0;"NA; NA";Never;My research assistant;NA;DONE
3;0;"Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";Sometimes;NA;1;DONE
30;0;"Important content errors; Errors in the coding of items; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; NA";Often;NA;2;DONE
31;0;"Spelling errors; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; NA";Sometimes;NA;4;DONE
32;0;"Errors in the coding of items; Other; gCMewgsu9xUV73x3m2x3ghPhgj0357c7NkC2rI2DehRuqpkMrrOa2EZjCphvgOjtt0N3gdyM3fklFq2sK1mvZeQ41DPSLz";Rarely;NA;4;DONE
33;0;"NA; NA";Never;My research assistant;2;DONE
34;0;"Errors in the coding of items; Data preparation was harder than it could have been; NA";Often;NA;4;DONE
35;0;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; NA";Rarely;NA;1;DONE
36;0;"Errors in the coding of items; Data preparation was harder than it could have been; My friends do not have errors in their protocols; NA";Sometimes;NA;1;DONE
37;0;"Errors in participants balancing to conditions; NA";Rarely;NA;1;DONE
38;0;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; ghH5Rt2n2GrLchBSfJQQUXuaHJLZwQQ0ikNJfUNAJxkhkVc6fsPT2OzOwVOBwJRRIod74bDGByewQxx";Sometimes;NA;2;DONE
39;0;"Spelling errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; L129d45HQGlUhOu7NO6c44gJyl6N3xdxmmj6B1YdNVIzpTZhnJhpI2Kin4t25Qb25iwhDo";Always;NA;2;DONE
4;0;"Important content errors; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; NA";Often;NA;4;DONE
40;0;"NA; NA";Never;My research assistant;2;DONE
41;0;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; 14gj1Ch481enYU3wfaeXRUdcZQPgatLoo3pSsbq9D";Always;NA;3;DONE
42;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; 2z5owcVaN4pdN9vwsxfm3HDhfR4D0oPNmwQuCfhjmrqwXcgYWkEf8m7HfUTTvcWqzIj";Often;NA;3;DONE
43;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; A2bG4WnrtBLw6KFD7Wdktkf42aOUtHwY60";Often;NA;3;DONE
