id;Consent_000_RAW;Consent_001_RAW;Consent_000_DIR;Consent_001_DIR;Consent_RAW_NA;Consent_DIR_NA;Consent_DIRt;ExperimentsIssues_000_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_004_RAW;ExperimentsIssues_005_RAW;ExperimentsIssues_000_DIR;ExperimentsIssues_001_DIR;ExperimentsIssues_IssuesExperiments_DIRd;ExperimentsIssues_003_DIR;ExperimentsIssues_005_DIR;ExperimentsIssues_RAW_NA;ExperimentsIssues_DIR_NA;ExperimentsIssues_FrequencyIssues_DIRd;ExperimentsIssues_WhoIsGod_DIRd;ExperimentsIssues_Experience_DIRd;Goodbye_001_RAW;Goodbye_001_DIR;Goodbye_RAW_NA;Goodbye_DIR_NA;Goodbye_DIRt
108;;;NA;NA;0;2;0;;Often;"Spelling errors; Important content errors";NA;NA;Student (Master, PhD,...);;Often;"Spelling errors; Important content errors; NA";NA;1;2;2;Often;NA;1;v7xfyponpgk5alurzoxt;v7xfyponpgk5alurzoxt;0;0;DONE
109;;;NA;NA;0;2;0;;Sometimes;"Important content errors; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);;Sometimes;"Important content errors; My friends do not have errors in their protocols; NA";NA;1;2;2;Sometimes;NA;1;he026qlp3hrrxfvgog95;he026qlp3hrrxfvgog95;0;0;DONE
11;;;NA;NA;0;2;0;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;TuqWRL0;Postdoc or non-ternure track Academic;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; TuqWRL0";NA;2;1;1;Rarely;NA;2;z6uhyg4symg08cvn92ny;z6uhyg4symg08cvn92ny;0;0;DONE
110;;;NA;NA;0;2;0;;Often;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other";NA;HTUHr6EkNv6F8Ooazmce6si8KInToC7uVUKDs7CsM2mkiG8EG2dshdpnN9uwqPUEAc1H8msjTkbmjGy9EeRZQuRUs3q8G9;Postdoc or non-ternure track Academic;;Often;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other; HTUHr6EkNv6F8Ooazmce6si8KInToC7uVUKDs7CsM2mkiG8EG2dshdpnN9uwqPUEAc1H8msjTkbmjGy9EeRZQuRUs3q8G9";NA;2;1;1;Often;NA;2;f4n5llzahag3gufogcta;f4n5llzahag3gufogcta;0;0;DONE
111;;;NA;NA;0;2;0;;Often;"Errors in participants balancing to conditions; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;;Often;"Errors in participants balancing to conditions; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";NA;2;2;2;Often;NA;2;sepkup05pbz31r2tf3vw;sepkup05pbz31r2tf3vw;0;0;DONE
112;;;NA;NA;0;2;0;;Never;NA;Of course;NA;Postdoc or non-ternure track Academic;;Never;"NA; NA";Me;2;2;2;Never;Me;2;aosz78xadh9pq68bjgkn;aosz78xadh9pq68bjgkn;0;0;DONE
113;;;NA;NA;0;2;0;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;;Never;"NA; NA";My research assistant;2;2;2;Never;My research assistant;2;o8ujraac3745nvxmnlx4;o8ujraac3745nvxmnlx4;0;0;DONE
114;;;NA;NA;0;2;0;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;PyPWyY6e;Postdoc or non-ternure track Academic;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; PyPWyY6e";NA;2;1;1;Sometimes;NA;2;3g1kc7x9aytvugfwaga6;3g1kc7x9aytvugfwaga6;0;0;DONE
115;;;NA;NA;0;2;0;;Rarely;"Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;ulMxulcFhnsmaFrGGvRcvQI3cDoNiyFpO;Early Career Academic;;Rarely;"Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; ulMxulcFhnsmaFrGGvRcvQI3cDoNiyFpO";NA;3;1;1;Rarely;NA;3;azlyeyk9a1o74hpnn67m;azlyeyk9a1o74hpnn67m;0;0;DONE
116;;;NA;NA;0;2;0;;Often;"Important content errors; Data not what we expected; Other";NA;e35KqnDcdKOPi4XK3jifL1kHAP5RNJJ12fzZGqkdfRi5RdvfHmpml61lbt4TTkocmCEyDQ7mV9qUIllqwsYxe;Student (Master, PhD,...);;Often;"Important content errors; Data not what we expected; Other; e35KqnDcdKOPi4XK3jifL1kHAP5RNJJ12fzZGqkdfRi5RdvfHmpml61lbt4TTkocmCEyDQ7mV9qUIllqwsYxe";NA;1;1;1;Often;NA;1;z3ogphbk2yjpnq67wv22;z3ogphbk2yjpnq67wv22;0;0;DONE
117;;;NA;NA;0;2;0;;Never;NA;No, but my Research assistant is;NA;Early Career Academic;;Never;"NA; NA";My research assistant;3;2;2;Never;My research assistant;3;pxqjn238jsouee8ca4sj;pxqjn238jsouee8ca4sj;0;0;DONE
118;;;NA;NA;0;2;0;;Always;"Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;lbpulCy7znGdZFbJBIbdcxOInvmMdWnMSvzldLiR8rtwXPEkvZ2hrxAHNyA0Qsj0qjWecnVK;Senior academic;;Always;"Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; lbpulCy7znGdZFbJBIbdcxOInvmMdWnMSvzldLiR8rtwXPEkvZ2hrxAHNyA0Qsj0qjWecnVK";NA;4;1;1;Always;NA;4;k8j7rjm4bdwuo5ubadtz;k8j7rjm4bdwuo5ubadtz;0;0;DONE
119;;;NA;NA;0;2;0;;Often;"Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear";NA;NA;Student (Master, PhD,...);;Often;"Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear; NA";NA;1;2;2;Often;NA;1;eocu4akg87384mljk24u;eocu4akg87384mljk24u;0;0;DONE
12;;;NA;NA;0;2;0;;Never;NA;No, but my Research assistant is;NA;Student (Master, PhD,...);;Never;"NA; NA";My research assistant;1;2;2;Never;My research assistant;1;cv521e7guwoslt0x0zp4;cv521e7guwoslt0x0zp4;0;0;DONE
120;;;NA;NA;0;2;0;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other";NA;YorHgQQrslYVY9XaAvw3StSRqgKdrfNYK5xio3F7JLcsCeg3;Early Career Academic;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other; YorHgQQrslYVY9XaAvw3StSRqgKdrfNYK5xio3F7JLcsCeg3";NA;3;1;1;Sometimes;NA;3;zcajgl9rq5x5xfumvph2;zcajgl9rq5x5xfumvph2;0;0;DONE
121;;;NA;NA;0;2;0;;Rarely;"Spelling errors; Important content errors";NA;NA;Postdoc or non-ternure track Academic;;Rarely;"Spelling errors; Important content errors; NA";NA;2;2;2;Rarely;NA;2;hgldkqb902sd265op9xf;hgldkqb902sd265op9xf;0;0;DONE
122;;;NA;NA;0;2;0;;Always;Some variables or questions asked to participants but not used in the analysis/paper;NA;NA;Early Career Academic;;Always;"Some variables or questions asked to participants but not used in the analysis/paper; NA";NA;3;2;2;Always;NA;3;vd8yasvqu6uvowevpecf;vd8yasvqu6uvowevpecf;0;0;DONE
123;;;NA;NA;0;2;0;;Often;"Spelling errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;rvhdyqrxu4hUe8samG6K9raSf3G8f9M5lj9oz6d96LItiq9XtCAoL;Early Career Academic;;Often;"Spelling errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; rvhdyqrxu4hUe8samG6K9raSf3G8f9M5lj9oz6d96LItiq9XtCAoL";NA;3;1;1;Often;NA;3;ueu7uvcuuz7qw6pm06ov;ueu7uvcuuz7qw6pm06ov;0;0;DONE
124;;;NA;NA;0;2;0;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;LkUg0PlkTwdj7sj6vHIR2vMBO86EO4vkuhjIIJBcbv8TWq2i8I1HKFaH4ljrgVJjLkV5GMuzp9LW0B6mH3ZHc63KpN68w;Student (Master, PhD,...);;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; LkUg0PlkTwdj7sj6vHIR2vMBO86EO4vkuhjIIJBcbv8TWq2i8I1HKFaH4ljrgVJjLkV5GMuzp9LW0B6mH3ZHc63KpN68w";NA;1;1;1;Rarely;NA;1;m5lp2j0lw68nsr92ba0j;m5lp2j0lw68nsr92ba0j;0;0;DONE
125;;;NA;NA;0;2;0;;Always;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other";NA;yHKwHDSIQfr1apqJV;Postdoc or non-ternure track Academic;;Always;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other; yHKwHDSIQfr1apqJV";NA;2;1;1;Always;NA;2;rrxwbud8vbossa2geeof;rrxwbud8vbossa2geeof;0;0;DONE
126;;;NA;NA;0;2;0;;Always;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;NurzzFwckhMy8Mr5c7Fe4friKoOw7B;Postdoc or non-ternure track Academic;;Always;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; NurzzFwckhMy8Mr5c7Fe4friKoOw7B";NA;2;1;1;Always;NA;2;q2en004cvab6xob38m3k;q2en004cvab6xob38m3k;0;0;DONE
127;;;NA;NA;0;2;0;;Rarely;Errors so bad that my friend had to start over;NA;NA;Postdoc or non-ternure track Academic;;Rarely;"Errors so bad that my friend had to start over; NA";NA;2;2;2;Rarely;NA;2;crr0z8ha8qpnq1hetfmj;crr0z8ha8qpnq1hetfmj;0;0;DONE
128;;;NA;NA;0;2;0;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Other";NA;qENNLOrYvnQgxZEEJU;Postdoc or non-ternure track Academic;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Other; qENNLOrYvnQgxZEEJU";NA;2;1;1;Sometimes;NA;2;n18nop9x9cu68wx9le9t;n18nop9x9cu68wx9le9t;0;0;DONE
129;;;NA;NA;0;2;0;;Often;"Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);;Often;"Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";NA;1;2;2;Often;NA;1;5tpnw4nbv2hs9y5yyev1;5tpnw4nbv2hs9y5yyev1;0;0;DONE
13;;;NA;NA;0;2;0;;Always;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;YwU5TbzyLYeLHesodShqfNDMJq1W2InmMmxExMkhpTqXtJNCiXgNicizdjsDr7tJQjF5z;Early Career Academic;;Always;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; YwU5TbzyLYeLHesodShqfNDMJq1W2InmMmxExMkhpTqXtJNCiXgNicizdjsDr7tJQjF5z";NA;3;1;1;Always;NA;3;5zcbhadz6go8vqvbn1d1;5zcbhadz6go8vqvbn1d1;0;0;DONE
130;;;NA;NA;0;2;0;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;;Never;"NA; NA";My research assistant;2;2;2;Never;My research assistant;2;wdwonfxs3387005qkgns;wdwonfxs3387005qkgns;0;0;DONE
131;;;NA;NA;0;2;0;;Rarely;"Important content errors; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;INsB2GK4N65x0aDVC2EnqLb4pgFG3jGxvAeADiMaq2ShEwZiWnxwYsU9UxmBC5WZ7;Postdoc or non-ternure track Academic;;Rarely;"Important content errors; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; INsB2GK4N65x0aDVC2EnqLb4pgFG3jGxvAeADiMaq2ShEwZiWnxwYsU9UxmBC5WZ7";NA;2;1;1;Rarely;NA;2;avn15p8zt3xhzd5c2eq5;avn15p8zt3xhzd5c2eq5;0;0;DONE
132;;;NA;NA;0;2;0;;Sometimes;"Spelling errors; Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other";NA;bs3plLZV2YBqCcm1Pep3ctuZxPr9fDOr7rBxg7uU6suVyncSF;Early Career Academic;;Sometimes;"Spelling errors; Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other; bs3plLZV2YBqCcm1Pep3ctuZxPr9fDOr7rBxg7uU6suVyncSF";NA;3;1;1;Sometimes;NA;3;twajthoo5ezr9zt6surt;twajthoo5ezr9zt6surt;0;0;DONE
133;;;NA;NA;0;2;0;;Always;"Errors in the coding of items; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Postdoc or non-ternure track Academic;;Always;"Errors in the coding of items; Some variables or questions asked to participants but not used in the analysis/paper; NA";NA;2;2;2;Always;NA;2;bnncjla150gy6sagz2qr;bnncjla150gy6sagz2qr;0;0;DONE
134;;;NA;NA;0;2;0;;Always;"Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Early Career Academic;;Always;"Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; NA";NA;3;2;2;Always;NA;3;p7tmupoxn5rzk6ebmx83;p7tmupoxn5rzk6ebmx83;0;0;DONE
135;;;NA;NA;0;2;0;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";NA;2;2;2;Often;NA;2;edtdudqawhr55mo92n61;edtdudqawhr55mo92n61;0;0;DONE
136;;;NA;NA;0;2;0;;Often;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;bTMS7jgZAxWaTS;Senior academic;;Often;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; bTMS7jgZAxWaTS";NA;4;1;1;Often;NA;4;ndofocle5s4r34kvx923;ndofocle5s4r34kvx923;0;0;DONE
137;;;NA;NA;0;2;0;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";NA;3;2;2;Always;NA;3;3eys8cc8od9bcrkbh8fz;3eys8cc8od9bcrkbh8fz;0;0;DONE
138;;;NA;NA;0;2;0;;Rarely;"Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;BYnIdwGQzu4l7j5koUcYvMSirEhZVtq;Early Career Academic;;Rarely;"Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; BYnIdwGQzu4l7j5koUcYvMSirEhZVtq";NA;3;1;1;Rarely;NA;3;8wzu21qwrmtr7nedwz4e;8wzu21qwrmtr7nedwz4e;0;0;DONE
139;;;NA;NA;0;2;0;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;c51y7N1thRgULjuTmzKh1yyrCcK3ZBUE3eTszTS0XQ6PvAErlBQ;Senior academic;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; c51y7N1thRgULjuTmzKh1yyrCcK3ZBUE3eTszTS0XQ6PvAErlBQ";NA;4;1;1;Often;NA;4;qvfbun2zoh8y8eev990l;qvfbun2zoh8y8eev990l;0;0;DONE
14;;;NA;NA;0;2;0;;Rarely;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;Gl1xR5MHbW34PZ6VAJIKofHvmVQYhrCIWcFJxwjAVvd7IDbxk1zu5myKoKhD5vAFLo984staPj04mliNmIWk0bQcnX5zqdHXiq;Student (Master, PhD,...);;Rarely;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; Gl1xR5MHbW34PZ6VAJIKofHvmVQYhrCIWcFJxwjAVvd7IDbxk1zu5myKoKhD5vAFLo984staPj04mliNmIWk0bQcnX5zqdHXiq";NA;1;1;1;Rarely;NA;1;z1gn0ejxe6ahwmntwkhu;z1gn0ejxe6ahwmntwkhu;0;0;DONE
140;;;NA;NA;0;2;0;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Early Career Academic;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";NA;3;2;2;Sometimes;NA;3;arul8lj8t2u88c7lvw2x;arul8lj8t2u88c7lvw2x;0;0;DONE
141;;;NA;NA;0;2;0;;Rarely;"Important content errors; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Senior academic;;Rarely;"Important content errors; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";NA;4;2;2;Rarely;NA;4;3hpxwyl1bjsaacd53s0p;3hpxwyl1bjsaacd53s0p;0;0;DONE
