id,ExperimentsIssues_000_RAW,ExperimentsIssues_001_RAW,ExperimentsIssues_002_RAW,ExperimentsIssues_003_RAW,ExperimentsIssues_004_RAW,ExperimentsIssues_005_RAW,ExperimentsIssues_000_DIR,ExperimentsIssues_001_DIR,ExperimentsIssues_IssuesExperiments_DIRd,ExperimentsIssues_003_DIR,ExperimentsIssues_005_DIR,ExperimentsIssues_RAW_NA,ExperimentsIssues_DIR_NA,ExperimentsIssues_FrequencyIssues_DIRd,ExperimentsIssues_WhoIsGod_DIRd,ExperimentsIssues_Experience_DIRd
109,,Sometimes,Important content errors; My friends do not have errors in their protocols,NA,NA,"Student (Master, PhD,...)",,Sometimes,Important content errors; My friends do not have errors in their protocols; NA,NA,1,2,2,Sometimes,NA,1
11,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,TuqWRL0,Postdoc or non-ternure track Academic,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; TuqWRL0,NA,2,1,1,Rarely,NA,2
110,,Often,Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other,NA,HTUHr6EkNv6F8Ooazmce6si8KInToC7uVUKDs7CsM2mkiG8EG2dshdpnN9uwqPUEAc1H8msjTkbmjGy9EeRZQuRUs3q8G9,Postdoc or non-ternure track Academic,,Often,Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other; HTUHr6EkNv6F8Ooazmce6si8KInToC7uVUKDs7CsM2mkiG8EG2dshdpnN9uwqPUEAc1H8msjTkbmjGy9EeRZQuRUs3q8G9,NA,2,1,1,Often,NA,2
111,,Often,Errors in participants balancing to conditions; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Postdoc or non-ternure track Academic,,Often,Errors in participants balancing to conditions; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,2,2,2,Often,NA,2
112,,Never,NA,Of course,NA,Postdoc or non-ternure track Academic,,Never,NA; NA,Me,2,2,2,Never,Me,2
113,,Never,NA,"No, but my Research assistant is",NA,Postdoc or non-ternure track Academic,,Never,NA; NA,My research assistant,2,2,2,Never,My research assistant,2
114,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,PyPWyY6e,Postdoc or non-ternure track Academic,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; PyPWyY6e,NA,2,1,1,Sometimes,NA,2
115,,Rarely,Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,ulMxulcFhnsmaFrGGvRcvQI3cDoNiyFpO,Early Career Academic,,Rarely,Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; ulMxulcFhnsmaFrGGvRcvQI3cDoNiyFpO,NA,3,1,1,Rarely,NA,3
116,,Often,Important content errors; Data not what we expected; Other,NA,e35KqnDcdKOPi4XK3jifL1kHAP5RNJJ12fzZGqkdfRi5RdvfHmpml61lbt4TTkocmCEyDQ7mV9qUIllqwsYxe,"Student (Master, PhD,...)",,Often,Important content errors; Data not what we expected; Other; e35KqnDcdKOPi4XK3jifL1kHAP5RNJJ12fzZGqkdfRi5RdvfHmpml61lbt4TTkocmCEyDQ7mV9qUIllqwsYxe,NA,1,1,1,Often,NA,1
117,,Never,NA,"No, but my Research assistant is",NA,Early Career Academic,,Never,NA; NA,My research assistant,3,2,2,Never,My research assistant,3
118,,Always,Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,lbpulCy7znGdZFbJBIbdcxOInvmMdWnMSvzldLiR8rtwXPEkvZ2hrxAHNyA0Qsj0qjWecnVK,Senior academic,,Always,Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; lbpulCy7znGdZFbJBIbdcxOInvmMdWnMSvzldLiR8rtwXPEkvZ2hrxAHNyA0Qsj0qjWecnVK,NA,4,1,1,Always,NA,4
119,,Often,Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear,NA,NA,"Student (Master, PhD,...)",,Often,Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear; NA,NA,1,2,2,Often,NA,1
12,,Never,NA,"No, but my Research assistant is",NA,"Student (Master, PhD,...)",,Never,NA; NA,My research assistant,1,2,2,Never,My research assistant,1
120,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other,NA,YorHgQQrslYVY9XaAvw3StSRqgKdrfNYK5xio3F7JLcsCeg3,Early Career Academic,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other; YorHgQQrslYVY9XaAvw3StSRqgKdrfNYK5xio3F7JLcsCeg3,NA,3,1,1,Sometimes,NA,3
121,,Rarely,Spelling errors; Important content errors,NA,NA,Postdoc or non-ternure track Academic,,Rarely,Spelling errors; Important content errors; NA,NA,2,2,2,Rarely,NA,2
122,,Always,Some variables or questions asked to participants but not used in the analysis/paper,NA,NA,Early Career Academic,,Always,Some variables or questions asked to participants but not used in the analysis/paper; NA,NA,3,2,2,Always,NA,3
123,,Often,Spelling errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,rvhdyqrxu4hUe8samG6K9raSf3G8f9M5lj9oz6d96LItiq9XtCAoL,Early Career Academic,,Often,Spelling errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; rvhdyqrxu4hUe8samG6K9raSf3G8f9M5lj9oz6d96LItiq9XtCAoL,NA,3,1,1,Often,NA,3
124,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,LkUg0PlkTwdj7sj6vHIR2vMBO86EO4vkuhjIIJBcbv8TWq2i8I1HKFaH4ljrgVJjLkV5GMuzp9LW0B6mH3ZHc63KpN68w,"Student (Master, PhD,...)",,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; LkUg0PlkTwdj7sj6vHIR2vMBO86EO4vkuhjIIJBcbv8TWq2i8I1HKFaH4ljrgVJjLkV5GMuzp9LW0B6mH3ZHc63KpN68w,NA,1,1,1,Rarely,NA,1
125,,Always,Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other,NA,yHKwHDSIQfr1apqJV,Postdoc or non-ternure track Academic,,Always,Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other; yHKwHDSIQfr1apqJV,NA,2,1,1,Always,NA,2
126,,Always,Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,NurzzFwckhMy8Mr5c7Fe4friKoOw7B,Postdoc or non-ternure track Academic,,Always,Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; NurzzFwckhMy8Mr5c7Fe4friKoOw7B,NA,2,1,1,Always,NA,2
127,,Rarely,Errors so bad that my friend had to start over,NA,NA,Postdoc or non-ternure track Academic,,Rarely,Errors so bad that my friend had to start over; NA,NA,2,2,2,Rarely,NA,2
128,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Other,NA,qENNLOrYvnQgxZEEJU,Postdoc or non-ternure track Academic,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Other; qENNLOrYvnQgxZEEJU,NA,2,1,1,Sometimes,NA,2
129,,Often,Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols,NA,NA,"Student (Master, PhD,...)",,Often,Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA,NA,1,2,2,Often,NA,1
13,,Always,Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,YwU5TbzyLYeLHesodShqfNDMJq1W2InmMmxExMkhpTqXtJNCiXgNicizdjsDr7tJQjF5z,Early Career Academic,,Always,Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; YwU5TbzyLYeLHesodShqfNDMJq1W2InmMmxExMkhpTqXtJNCiXgNicizdjsDr7tJQjF5z,NA,3,1,1,Always,NA,3
130,,Never,NA,"No, but my Research assistant is",NA,Postdoc or non-ternure track Academic,,Never,NA; NA,My research assistant,2,2,2,Never,My research assistant,2
131,,Rarely,Important content errors; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,INsB2GK4N65x0aDVC2EnqLb4pgFG3jGxvAeADiMaq2ShEwZiWnxwYsU9UxmBC5WZ7,Postdoc or non-ternure track Academic,,Rarely,Important content errors; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; INsB2GK4N65x0aDVC2EnqLb4pgFG3jGxvAeADiMaq2ShEwZiWnxwYsU9UxmBC5WZ7,NA,2,1,1,Rarely,NA,2
132,,Sometimes,Spelling errors; Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other,NA,bs3plLZV2YBqCcm1Pep3ctuZxPr9fDOr7rBxg7uU6suVyncSF,Early Career Academic,,Sometimes,Spelling errors; Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other; bs3plLZV2YBqCcm1Pep3ctuZxPr9fDOr7rBxg7uU6suVyncSF,NA,3,1,1,Sometimes,NA,3
133,,Always,Errors in the coding of items; Some variables or questions asked to participants but not used in the analysis/paper,NA,NA,Postdoc or non-ternure track Academic,,Always,Errors in the coding of items; Some variables or questions asked to participants but not used in the analysis/paper; NA,NA,2,2,2,Always,NA,2
134,,Always,Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper,NA,NA,Early Career Academic,,Always,Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; NA,NA,3,2,2,Always,NA,3
135,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Postdoc or non-ternure track Academic,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,2,2,2,Often,NA,2
136,,Often,Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,bTMS7jgZAxWaTS,Senior academic,,Often,Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; bTMS7jgZAxWaTS,NA,4,1,1,Often,NA,4
137,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,3,2,2,Always,NA,3
138,,Rarely,Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,BYnIdwGQzu4l7j5koUcYvMSirEhZVtq,Early Career Academic,,Rarely,Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; BYnIdwGQzu4l7j5koUcYvMSirEhZVtq,NA,3,1,1,Rarely,NA,3
139,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,c51y7N1thRgULjuTmzKh1yyrCcK3ZBUE3eTszTS0XQ6PvAErlBQ,Senior academic,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; c51y7N1thRgULjuTmzKh1yyrCcK3ZBUE3eTszTS0XQ6PvAErlBQ,NA,4,1,1,Often,NA,4
14,,Rarely,Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,Gl1xR5MHbW34PZ6VAJIKofHvmVQYhrCIWcFJxwjAVvd7IDbxk1zu5myKoKhD5vAFLo984staPj04mliNmIWk0bQcnX5zqdHXiq,"Student (Master, PhD,...)",,Rarely,Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; Gl1xR5MHbW34PZ6VAJIKofHvmVQYhrCIWcFJxwjAVvd7IDbxk1zu5myKoKhD5vAFLo984staPj04mliNmIWk0bQcnX5zqdHXiq,NA,1,1,1,Rarely,NA,1
140,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over,NA,NA,Early Career Academic,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA,NA,3,2,2,Sometimes,NA,3
141,,Rarely,Important content errors; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Senior academic,,Rarely,Important content errors; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,4,2,2,Rarely,NA,4
142,,Always,Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Postdoc or non-ternure track Academic,,Always,Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,2,2,2,Always,NA,2
143,,Sometimes,Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,"Student (Master, PhD,...)",,Sometimes,Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,1,2,2,Sometimes,NA,1
144,,Sometimes,Spelling errors; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,QdXcGgvbnD2rPSxIrkB2aSkWkNmlBQxDjj4B7CuUGP5Too5lNbLFVYuzxHtbzAIy,Early Career Academic,,Sometimes,Spelling errors; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; QdXcGgvbnD2rPSxIrkB2aSkWkNmlBQxDjj4B7CuUGP5Too5lNbLFVYuzxHtbzAIy,NA,3,1,1,Sometimes,NA,3
145,,Always,Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear,NA,NA,Senior academic,,Always,Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; NA,NA,4,2,2,Always,NA,4
146,,Often,Errors in the coding of items,NA,NA,Early Career Academic,,Often,Errors in the coding of items; NA,NA,3,2,2,Often,NA,3
147,,Always,Errors in the coding of items; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,vizfp43KBX8HdRwEMVi,"Student (Master, PhD,...)",,Always,Errors in the coding of items; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; vizfp43KBX8HdRwEMVi,NA,1,1,1,Always,NA,1
148,,Always,Errors in the coding of items; Match between hypotheses and data not clear,NA,NA,Postdoc or non-ternure track Academic,,Always,Errors in the coding of items; Match between hypotheses and data not clear; NA,NA,2,2,2,Always,NA,2
149,,Rarely,Important content errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear,NA,NA,"Student (Master, PhD,...)",,Rarely,Important content errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; NA,NA,1,2,2,Rarely,NA,1
15,,Rarely,Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Rarely,Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA,NA,3,2,2,Rarely,NA,3
150,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,pRiXFHmfekFnwTOLBDwADOX0q6NTKccMhmfQEiPFFsjHvpqpTj4Yk3CKAmZRBAwuqjUaR7ATsVxl0dD3IaYUchCaAu91o49,Postdoc or non-ternure track Academic,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; pRiXFHmfekFnwTOLBDwADOX0q6NTKccMhmfQEiPFFsjHvpqpTj4Yk3CKAmZRBAwuqjUaR7ATsVxl0dD3IaYUchCaAu91o49,NA,2,1,1,Sometimes,NA,2
151,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Postdoc or non-ternure track Academic,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,2,2,2,Rarely,NA,2
152,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,WMoL3uYPr9uqxrmyOuUEu,"Student (Master, PhD,...)",,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; WMoL3uYPr9uqxrmyOuUEu,NA,1,1,1,Often,NA,1
153,,Always,Match between hypotheses and data not clear; Other,NA,JqYC0jJ8GLeu2nPwMcadLsAv9KDbYmmP6fROCVofgEbbZ7bss7WkwUCJCEPL7WDEI51thGNUsxa3,Senior academic,,Always,Match between hypotheses and data not clear; Other; JqYC0jJ8GLeu2nPwMcadLsAv9KDbYmmP6fROCVofgEbbZ7bss7WkwUCJCEPL7WDEI51thGNUsxa3,NA,4,1,1,Always,NA,4
154,,Rarely,Errors in the coding of items,NA,NA,"Student (Master, PhD,...)",,Rarely,Errors in the coding of items; NA,NA,1,2,2,Rarely,NA,1
155,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,q3RL9CcjnzlGprSfl0Mi3Vv,Early Career Academic,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; q3RL9CcjnzlGprSfl0Mi3Vv,NA,3,1,1,Often,NA,3
