id;Consent_000_RAW;Consent_001_RAW;ExperimentsIssues_000_RAW;ExperimentsIssues_001_RAW;ExperimentsIssues_002_RAW;ExperimentsIssues_003_RAW;ExperimentsIssues_004_RAW;ExperimentsIssues_005_RAW;Goodbye_001_RAW
11;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;TuqWRL0;Postdoc or non-ternure track Academic;z6uhyg4symg08cvn92ny
110;;;;Often;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other";NA;HTUHr6EkNv6F8Ooazmce6si8KInToC7uVUKDs7CsM2mkiG8EG2dshdpnN9uwqPUEAc1H8msjTkbmjGy9EeRZQuRUs3q8G9;Postdoc or non-ternure track Academic;f4n5llzahag3gufogcta
111;;;;Often;"Errors in participants balancing to conditions; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;sepkup05pbz31r2tf3vw
112;;;;Never;NA;Of course;NA;Postdoc or non-ternure track Academic;aosz78xadh9pq68bjgkn
113;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;o8ujraac3745nvxmnlx4
114;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;PyPWyY6e;Postdoc or non-ternure track Academic;3g1kc7x9aytvugfwaga6
115;;;;Rarely;"Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;ulMxulcFhnsmaFrGGvRcvQI3cDoNiyFpO;Early Career Academic;azlyeyk9a1o74hpnn67m
116;;;;Often;"Important content errors; Data not what we expected; Other";NA;e35KqnDcdKOPi4XK3jifL1kHAP5RNJJ12fzZGqkdfRi5RdvfHmpml61lbt4TTkocmCEyDQ7mV9qUIllqwsYxe;Student (Master, PhD,...);z3ogphbk2yjpnq67wv22
117;;;;Never;NA;No, but my Research assistant is;NA;Early Career Academic;pxqjn238jsouee8ca4sj
118;;;;Always;"Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;lbpulCy7znGdZFbJBIbdcxOInvmMdWnMSvzldLiR8rtwXPEkvZ2hrxAHNyA0Qsj0qjWecnVK;Senior academic;k8j7rjm4bdwuo5ubadtz
119;;;;Often;"Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear";NA;NA;Student (Master, PhD,...);eocu4akg87384mljk24u
12;;;;Never;NA;No, but my Research assistant is;NA;Student (Master, PhD,...);cv521e7guwoslt0x0zp4
120;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other";NA;YorHgQQrslYVY9XaAvw3StSRqgKdrfNYK5xio3F7JLcsCeg3;Early Career Academic;zcajgl9rq5x5xfumvph2
121;;;;Rarely;"Spelling errors; Important content errors";NA;NA;Postdoc or non-ternure track Academic;hgldkqb902sd265op9xf
122;;;;Always;Some variables or questions asked to participants but not used in the analysis/paper;NA;NA;Early Career Academic;vd8yasvqu6uvowevpecf
123;;;;Often;"Spelling errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;rvhdyqrxu4hUe8samG6K9raSf3G8f9M5lj9oz6d96LItiq9XtCAoL;Early Career Academic;ueu7uvcuuz7qw6pm06ov
124;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;LkUg0PlkTwdj7sj6vHIR2vMBO86EO4vkuhjIIJBcbv8TWq2i8I1HKFaH4ljrgVJjLkV5GMuzp9LW0B6mH3ZHc63KpN68w;Student (Master, PhD,...);m5lp2j0lw68nsr92ba0j
125;;;;Always;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other";NA;yHKwHDSIQfr1apqJV;Postdoc or non-ternure track Academic;rrxwbud8vbossa2geeof
126;;;;Always;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;NurzzFwckhMy8Mr5c7Fe4friKoOw7B;Postdoc or non-ternure track Academic;q2en004cvab6xob38m3k
127;;;;Rarely;Errors so bad that my friend had to start over;NA;NA;Postdoc or non-ternure track Academic;crr0z8ha8qpnq1hetfmj
128;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Data preparation was harder than it could have been; Other";NA;qENNLOrYvnQgxZEEJU;Postdoc or non-ternure track Academic;n18nop9x9cu68wx9le9t
129;;;;Often;"Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);5tpnw4nbv2hs9y5yyev1
13;;;;Always;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;YwU5TbzyLYeLHesodShqfNDMJq1W2InmMmxExMkhpTqXtJNCiXgNicizdjsDr7tJQjF5z;Early Career Academic;5zcbhadz6go8vqvbn1d1
130;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;wdwonfxs3387005qkgns
131;;;;Rarely;"Important content errors; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;INsB2GK4N65x0aDVC2EnqLb4pgFG3jGxvAeADiMaq2ShEwZiWnxwYsU9UxmBC5WZ7;Postdoc or non-ternure track Academic;avn15p8zt3xhzd5c2eq5
132;;;;Sometimes;"Spelling errors; Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other";NA;bs3plLZV2YBqCcm1Pep3ctuZxPr9fDOr7rBxg7uU6suVyncSF;Early Career Academic;twajthoo5ezr9zt6surt
133;;;;Always;"Errors in the coding of items; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Postdoc or non-ternure track Academic;bnncjla150gy6sagz2qr
134;;;;Always;"Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Early Career Academic;p7tmupoxn5rzk6ebmx83
135;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;edtdudqawhr55mo92n61
136;;;;Often;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;bTMS7jgZAxWaTS;Senior academic;ndofocle5s4r34kvx923
137;;;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;3eys8cc8od9bcrkbh8fz
138;;;;Rarely;"Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;BYnIdwGQzu4l7j5koUcYvMSirEhZVtq;Early Career Academic;8wzu21qwrmtr7nedwz4e
139;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;c51y7N1thRgULjuTmzKh1yyrCcK3ZBUE3eTszTS0XQ6PvAErlBQ;Senior academic;qvfbun2zoh8y8eev990l
14;;;;Rarely;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;Gl1xR5MHbW34PZ6VAJIKofHvmVQYhrCIWcFJxwjAVvd7IDbxk1zu5myKoKhD5vAFLo984staPj04mliNmIWk0bQcnX5zqdHXiq;Student (Master, PhD,...);z1gn0ejxe6ahwmntwkhu
140;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Early Career Academic;arul8lj8t2u88c7lvw2x
141;;;;Rarely;"Important content errors; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Senior academic;3hpxwyl1bjsaacd53s0p
142;;;;Always;"Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;ojozwaqqnag1zlyqnoq8
143;;;;Sometimes;"Errors in the coding of items; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);rcl8jpc56phk7l6s93bf
144;;;;Sometimes;"Spelling errors; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;QdXcGgvbnD2rPSxIrkB2aSkWkNmlBQxDjj4B7CuUGP5Too5lNbLFVYuzxHtbzAIy;Early Career Academic;qcuugva4nbbo1emv0swr
145;;;;Always;"Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear";NA;NA;Senior academic;6b02al4h3dkghf36kwhm
146;;;;Often;Errors in the coding of items;NA;NA;Early Career Academic;lcnudsxd1v1fdyjm7el1
147;;;;Always;"Errors in the coding of items; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;vizfp43KBX8HdRwEMVi;Student (Master, PhD,...);hbsch2cfj8lk75661tw8
148;;;;Always;"Errors in the coding of items; Match between hypotheses and data not clear";NA;NA;Postdoc or non-ternure track Academic;lwqzbhnk4bhddojcvrdz
149;;;;Rarely;"Important content errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear";NA;NA;Student (Master, PhD,...);smxsnl7qbtypalgagcj5
15;;;;Rarely;"Spelling errors; Errors in the coding of items; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Early Career Academic;1oa9us5cth090tqr8z7s
150;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;pRiXFHmfekFnwTOLBDwADOX0q6NTKccMhmfQEiPFFsjHvpqpTj4Yk3CKAmZRBAwuqjUaR7ATsVxl0dD3IaYUchCaAu91o49;Postdoc or non-ternure track Academic;ewb079ct4nya2msj5cqs
151;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Postdoc or non-ternure track Academic;qc1j7enqy6z1mbprbqb7
152;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;WMoL3uYPr9uqxrmyOuUEu;Student (Master, PhD,...);oqloyuy0sgucj9zq8qd1
153;;;;Always;"Match between hypotheses and data not clear; Other";NA;JqYC0jJ8GLeu2nPwMcadLsAv9KDbYmmP6fROCVofgEbbZ7bss7WkwUCJCEPL7WDEI51thGNUsxa3;Senior academic;z39uo151cwk1pv4zrg5b
154;;;;Rarely;Errors in the coding of items;NA;NA;Student (Master, PhD,...);fz8kawypwgrtq72thubm
155;;;;Often;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;q3RL9CcjnzlGprSfl0Mi3Vv;Early Career Academic;t4y4zztlm5yuxqgh8mf3
156;;;;Always;"Spelling errors; Important content errors; Data not what we expected; Errors so bad that my friend had to start over; Other";NA;m266tzUMUD0Mt;Postdoc or non-ternure track Academic;dqferhpfd0p8zja92g59
157;;;;Rarely;"Important content errors; Errors in the coding of items; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;huCA5pUuncWurJgwkoapjJs76sB7bVKLhIyWn6WydGqCb4sCHdjNbctg94LSzc;Early Career Academic;wou0v7hgsuo7n2vwzbq0
158;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;jkk1l3zbpkgxa7v8mf6z
159;;;;Never;NA;Of course;NA;Early Career Academic;pf7h4o6thgn7qd27s2uw
16;;;;Always;"Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over";NA;NA;Student (Master, PhD,...);ub5k4jyg4sel4p1rgj4b
160;;;;Sometimes;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Errors so bad that my friend had to start over";NA;NA;Early Career Academic;o4o8fgwc4o73b9kc2o27
161;;;;Never;NA;Of course;NA;Senior academic;9wscefb5o1c9x02tcnus
162;;;;Always;"Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;cclRUul88r8myCkLqpHRkeSMDiha3cDFm7aKT4r0rC0B0ElXVun3MN5ycxdK99Q0JjYTaxV;Early Career Academic;t9lmcnehhfl8lp8axorp
163;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;9156mbyx35tqx3hrrbgp
164;;;;Often;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;NFp5L4uYFfA5KaX5g1ifMT5bB5Zt8owE1WYIwZsrpWKMaGOgLXhdu7aQanxkt3a1KcrY0cSwxTGnmYVVTZjGY9pc6Ey2EoNxIC;Early Career Academic;7uxrk4kff25nzr8tfdy7
165;;;;Often;"Errors in participants balancing to conditions; Data not what we expected; Other";NA;kHUyRo6toXw3KVlB2CW4kJ26iEZNdAMvVVk7aD7jXCnGmM3Eqgj;Early Career Academic;xv2ma2yg7he7yeye6xmd
166;;;;Always;"Spelling errors; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Early Career Academic;xtwk6yeyf195r0u9p6ul
167;;;;Sometimes;"Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Early Career Academic;wvmlzadqhx299kl0qobt
168;;;;Sometimes;"Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Senior academic;gnn6nytbvbjnt9ok3qbs
169;;;;Rarely;"Important content errors; My friends do not have errors in their protocols; Other";NA;4rQU0cJz8YaLXw1F1MdpXvFYytlJGTS5AG6qHhSSadicjNGdi9i4j9e0Fw1R33NJ6UGHD0RT3BAC1GQ;Early Career Academic;gv5xbgleuu5qoghb4tnv
17;;;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Early Career Academic;zv2dnymllhzyhxurlduc
170;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;YFgFKb8mMMLUXFPQZ1aeCwOPXIvxyXJhSfyXIaJG0ygy7TfOAgw;Senior academic;mvxonk9vff9crzybycpv
171;;;;Never;NA;Of course;NA;Early Career Academic;kqnxjb0wkb0r9loag986
172;;;;Rarely;"Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Senior academic;o9hs6cp4zs6nqa0rud98
173;;;;Sometimes;"Important content errors; Data preparation was harder than it could have been";NA;NA;Postdoc or non-ternure track Academic;rrjlcf0t86lft4lp00fc
174;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;gQzs;Postdoc or non-ternure track Academic;9um6o99349nf3z991yoa
175;;;;Sometimes;"Important content errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);pp2b9nvh072axyjgp1sj
176;;;;Sometimes;"Spelling errors; Important content errors; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other";NA;qi5WESe9eNJZ8veS6CvJGiN1WGATKvYByUUaigAxg9Zep47tYV89AYf9ZlZmfDH5aM9SHOJa9d0okeRRmSzNzT;Senior academic;03fcrxsltuxczck15osv
177;;;;Never;NA;Of course;NA;Postdoc or non-ternure track Academic;mxzvqu6crm3b01kwazgp
178;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;1wwfkv0uln0r783e6tua
179;;;;Never;NA;No, but my Research assistant is;NA;Postdoc or non-ternure track Academic;2yz0dxpmon3xgl2afd55
18;;;;Sometimes;Data not what we expected;NA;NA;Early Career Academic;4z5yd6wsdpgwre20u1z8
180;;;;Always;"Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper";NA;NA;Senior academic;w81fpzwnxutzq976l1qu
181;;;;Often;"Spelling errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);4a2l13723znfqoht84ro
182;;;;Rarely;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other";NA;0qlAb0GZnM0CPATuVadmkk6buBMVBjl68YKv8SDn4lXBC1zFkvWIlhM;Student (Master, PhD,...);ufqjx9qjhkh19x2zueqe
183;;;;Often;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over";NA;NA;Early Career Academic;qe7rbwtrnm38ar6qglwl
184;;;;Never;NA;No, but my Research assistant is;NA;Student (Master, PhD,...);1wn60xs9tuty4fc8su0j
185;;;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;b63FBHNQ1UG0Ps3D7S5dNHfqcCo2fokLmbfzP884qykTbrATXEjE4aqNhXprhm;Postdoc or non-ternure track Academic;8gy7rfuv3hb4aah4zfb7
186;;;;Sometimes;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols";NA;NA;Early Career Academic;s0qba2zevkxon10xzrzs
187;;;;Rarely;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other";NA;SR9a7GMzsZbOs9ZSmizDMU4aO11gLRS75;Early Career Academic;yv462hjw1pnrhs8h2rvk
188;;;;Often;"Errors so bad that my friend had to start over; Other";NA;tRI5H2SCEHwA8uKwxCxEK5yNSg0XR1PhQBNdzt9BclakxvJGAGT92XcZWGLB8YtjqvQze2SmXC;Senior academic;qhwx8zyv2yh39qy0jzev
189;;;;Always;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;yLG01moSBliQHJkwmGTxl1MzW5KriR4rnLIQ16Ur3Fikc0xTzOMjJ5OKqbyBgU;Senior academic;btt5zoepaaaz890y4uwp
19;;;;Sometimes;"Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;Z8qxtWofgjiI3nq5z67pHiqVNFTTdZkyon;Senior academic;90bpelw8fr2enfzplr8g
190;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other";NA;kA04tvNQYSqFDmj8cuYZh0Drytm50o5B9T5QUfhCtRGvul54DL9oURGAZRZ6bSswmRdyIv5;Senior academic;hfbtgfpkrdc3aqqhvj9t
191;;;;Sometimes;"Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; My friends do not have errors in their protocols";NA;NA;Senior academic;1ewxs5ofnh6hed26jtx8
192;;;;Sometimes;"Spelling errors; Important content errors; Match between hypotheses and data not clear";NA;NA;Senior academic;8qbs3e4p93f6k0hwebz0
193;;;;Sometimes;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other";NA;9svmvoDAedoa2ZGCE9BO8qqjXszWFKwFAbqYoQlLSzoaxBBz6K63FyZ8341DO0;Student (Master, PhD,...);ajnv9znb11ovhkan6wlm
194;;;;Always;"Errors in the coding of items; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Other";NA;ruPSIbXtBmvxz0BuJxpjrnI9jpbqzObkxfXKq04Rfh;Postdoc or non-ternure track Academic;j2hjq3wqvut8x2qm0hmr
195;;;;Always;"Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols";NA;NA;Student (Master, PhD,...);4hojljzgwwskoxzjymqx
196;;;;Rarely;"Spelling errors; Important content errors; Errors so bad that my friend had to start over; Other";NA;3iPXsR2d9P67ED1EGtKjaDtTT8qdtsL7xJw7UlaE65s93tI4PvQG7J5bI3cyT;Early Career Academic;o2eszd27mdvj0s5coed8
197;;;;Always;My friends do not have errors in their protocols;NA;NA;Postdoc or non-ternure track Academic;e1lu6ff0lft741k5srxc
198;;;;Rarely;"Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Other";NA;qC1jq7GW1yAsZBMA8r1ybbYVXQDIyQw9GS;Postdoc or non-ternure track Academic;cnr2x2vem5p1faqr4zzl
199;;;;Never;NA;No, but my Research assistant is;NA;Senior academic;qwsahxhv8mlrnw6qyqy2
